title,id,genres,runtime_seconds,number_of_writers
Scream 3 (2000),tt0134084,"['Horror', 'Mystery']",6960.0,2.0
Congo (1995),tt0112715,"['Action', 'Adventure', 'Mystery']",6540.0,2.0
Bowling For Columbine (2002),tt0310793,"['Documentary', 'Crime', 'Drama']",7200.0,1.0
What Women Want (2000),tt0207201,"['Comedy', 'Fantasy', 'Romance']",7620.0,3.0
Home Alone (1990),tt0099785,"['Comedy', 'Family']",6180.0,1.0
How the Grinch Stole Christmas (2000),tt0170016,"['Comedy', 'Family', 'Fantasy']",6240.0,3.0
The Straight Story (1999),tt0166896,"['Biography', 'Drama']",6720.0,2.0
The Hulk (2003),,,,
Gigli (2002),,,,
Rocky V (1991),,,,
The Visit (2015),tt3567288,"['Horror', 'Mystery', 'Thriller']",5640.0,1.0
Titanic (1997),tt0120338,"['Drama', 'Romance']",11640.0,1.0
A Clockwork Orange (1971),tt0066921,"['Crime', 'Sci-Fi']",8160.0,2.0
Charlie's Angels (2000),tt0160127,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",5880.0,3.0
Friday the 13th Part III (1982),tt0083972,"['Horror', 'Thriller']",5700.0,3.0
Hannibal (2001),tt0212985,"['Crime', 'Drama', 'Thriller']",7860.0,3.0
Pulp Fiction (1994),tt0110912,"['Crime', 'Drama']",9240.0,2.0
Crimson Tide (1995),tt0112740,"['Action', 'Drama', 'Thriller']",6960.0,2.0
Blow (2001),tt0221027,"['Biography', 'Crime', 'Drama']",7440.0,3.0
Ran (1985),tt0089881,"['Action', 'Drama', 'War']",9600.0,3.0
Mulholland Dr. (2001),tt0166924,"['Drama', 'Mystery', 'Thriller']",8820.0,1.0
Apocalypse Now (1979),tt0078788,"['Drama', 'Mystery', 'War']",8820.0,3.0
Cinema Paradiso (1988),tt0095765,"['Drama', 'Romance']",10440.0,2.0
Double Jeopardy (1999),tt0150377,"['Crime', 'Drama', 'Mystery', 'Thriller']",6300.0,2.0
The Big Lebowski (1998),tt0118715,"['Comedy', 'Crime']",7020.0,2.0
The Matrix (1999),tt0133093,"['Action', 'Sci-Fi']",8160.0,2.0
The Lord of the Rings: The Return of the King (2003),tt0167260,"['Adventure', 'Drama', 'Fantasy']",12060.0,3.0
Reservoir Dogs (1992),tt0105236,"['Crime', 'Thriller']",5940.0,2.0
Heavy Traffic (1973),tt0070165,"['Animation', 'Comedy', 'Drama']",4620.0,1.0
Memento (2000),tt0209144,"['Drama', 'Mystery', 'Thriller']",6780.0,2.0
Dogville (2003),tt0276919,"['Crime', 'Drama']",10260.0,1.0
American Psycho (2000),tt0144084,"['Crime', 'Drama', 'Horror']",6120.0,3.0
Kill Bill: Vol. 1 (2003),tt0266697,"['Action', 'Crime', 'Thriller']",6660.0,2.0
The Fugitive (1993),tt0106977,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",7800.0,3.0
Bend it Like Beckham (2002),tt0286499,"['Comedy', 'Drama', 'Romance', 'Sport']",6720.0,3.0
Austin Powers in Goldmember (2002),tt0295178,"['Action', 'Adventure', 'Comedy']",5640.0,2.0
The Mummy Returns (2001),tt0209163,"['Action', 'Adventure', 'Fantasy', 'Thriller']",7800.0,1.0
The Nightmare Before Christmas (1993),tt0107688,"['Animation', 'Adventure', 'Family', 'Fantasy', 'Musical']",4560.0,3.0
La La Land (2016),tt3783958,"['Comedy', 'Drama', 'Music']",7680.0,1.0
Flowers in the Attic (1987),tt0093036,"['Drama', 'Mystery', 'Thriller']",5580.0,2.0
28 Days Later (2002),tt0289043,"['Drama', 'Horror', 'Sci-Fi', 'Thriller']",6780.0,1.0
The Princess Bride (1987),tt0093779,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance']",5880.0,1.0
